context,question,answer,topic_lda,generated_answer,bert_f1
"Inflammatory reactions raised in response to periodontopathogens are thought to trigger pathways of periodontal tissue destruction. We therefore investigated the expression of matrix metalloproteinases (MMPs) and the osteoclastogenic factor receptor activator of nuclear factor-kappaB ligand (RANKL), their respective tissue inhibitors of metalloproteinases (TIMPs) and osteoprotegerin (OPG) in different forms of human periodontal diseases (PDs), and the possible correlation with the expression of inflammatory and regulatory cytokines. Quantitative polymerase chain reaction (real-time PCR) was performed with gingival biopsies mRNA from aggressive (AP) and chronic periodontitis (CP) patients. Periodontitis patients exhibit higher expression of all analyzed factors when compared with healthy tissues. The expression of MMPs and RANKL were similar in AP and CP, as well as the expression of TNF-alpha. On the other hand, the expression of TIMPs and OPG was higher in CP, and was associated with lower IFN-gamma and higher IL-10 expression, compared with AP.","Are matrix metalloproteinases , their physiological inhibitors and osteoclast factors differentially regulated by the cytokine profile in human periodontal disease?","It is possible that the pattern of cytokines expressed determines the stable or progressive nature of the lesions and regulates the severity of PD, driving the balance between MMPs and TIMPs, RANKL and OPG expression in the gingival tissues controlling the breakdown of soft and bone tissues and, consequently, the disease severity.",0,"Yes, matrix metalloproteinases (MMPs), their physiological inhibitors (TIMPs), and osteoclast factors (such as RANKL and OPG) are differentially regulated by the cytokine profile in human periodontal disease. In chronic periodontitis (CP), there is higher expression of TIMPs and OPG associated with lower IFN-gamma and higher IL-10 levels compared to aggressive periodontitis (AP), where MMPs and RANKL expression are similar to CP but with different cytokine profiles.",0.5940537452697754
"Tumour necrosis factor α (TNFα) inhibitors such as adalimumab and infliximab are frequently prescribed for inflammatory bowel disease (IBD). Despite the clinical success of TNFα inhibitors, their physiological mode of action is not fully understood. The aim of this study was to investigate the mode of action of anti-TNFα agents in IBD. It was hypothesised that Notch mediates anti-TNFα action in T cells. A study was carried out to identify Notch-1 as a link by which anti-TNFα antibodies mediate their inhibitory functions. TNFα inhibitors induced T cell apoptosis, inhibited activation, reduced cytokine secretion and restricted cell cycling. TNFα blockade at several levels showed that TNFα is responsible for inducing apoptosis by anti-TNFα but not for cell cycle restriction. By linking Notch and TNFα it was shown that (1) Notch-1 mucosal expression differs in inflamed and non-inflamed mucosa and increases in response to anti-TNFα treatment; (2) Notch-1 function is regulated by TNFα inhibitors; (3) Notch-1 binds to TNFα; and (4) Notch-1 inhibition prevents anti-TNFα-induced T cell cycle arrest but not apoptosis.",Do tNFα inhibitors restrict T cell activation and cycling via Notch-1 signalling in inflammatory bowel disease?,"TNFα inhibitors potently inhibit T cell function. By demonstrating for the first time that Notch-1 mediates the inhibitory effects of adalimumab and infliximab on T cell cycling, this study reveals a new mode of action and also an underlying signalling pathway by which biological agents act in IBD.",0,"Yes, TNFα inhibitors restrict T cell activation and cycling via Notch-1 signaling in inflammatory bowel disease.",0.6629701852798462
"In frog skeletal muscle, two ryanodine receptor (RyR) isoforms, alpha-RyR and beta-RyR, are expressed in nearly equal amounts. However, the roles and significance of the two isoforms in excitation-contraction (E-C) coupling remains to be elucidated. In this study, we expressed either or both alpha-RyR and beta-RyR in 1B5 RyR-deficient myotubes using the herpes simplex virus 1 helper-free amplicon system. Immunological characterizations revealed that alpha-RyR and beta-RyR are appropriately expressed and targeted at the junctions in 1B5 myotubes. In Ca(2+) imaging studies, each isoform exhibited caffeine-induced Ca(2+) transients, an indicative of Ca(2+)-induced Ca(2+) release (CICR). However, the fashion of Ca(2+) release events was fundamentally different: alpha-RyR mediated graded and sustained Ca(2+) release observed uniformly throughout the cytoplasm, whereas beta-RyR supported all-or-none type regenerative Ca(2+) oscillations and waves. alpha-RyR but not beta-RyR exhibited Ca(2+) transients triggered by membrane depolarization with high [K(+)](o) that were nifedipine-sensitive, indicating that only alpha-RyR mediates depolarization-induced Ca(2+) release. Myotubes co-expressing alpha-RyR and beta-RyR demonstrated high [K(+)](o)-induced Ca(2+) transients which were indistinguishable from those with myotubes expressing alpha-RyR alone. Furthermore, procaine did not affect the peak height of high [K(+)](o)-induced Ca(2+) transients, suggesting minor amplification of Ca(2+) release by beta-RyR via CICR in 1B5 myotubes.",Do frog alpha- and beta-ryanodine receptors provide distinct intracellular Ca2+ signals in a myogenic cell line?,These findings suggest that alpha-RyR and beta-RyR provide distinct intracellular Ca(2+) signals in a myogenic cell line. These distinct properties may also occur in frog skeletal muscle and will be important for E-C coupling.,0,"Yes, frog alpha- and beta-ryanodine receptors provide distinct intracellular Ca2+ signals in a myogenic cell line. Alpha-RyR mediates graded and sustained Ca2+ release uniformly throughout the cytoplasm, while beta-RyR supports all-or-none type regenerative Ca2+ oscillations and waves.",0.7208447456359863
"To determine the effect of exercise on chemerin in relation to changes in fat loss, insulin action, and dyslipidemia in older adults. Thirty older (65.9±0.9yr) obese adults (BMI:34.5±0.7kg/m2). Single-center, Cleveland Clinic. Prospective clinical trial. Twelve-weeks of exercise training (60minutes/day, 5day/week at ~85% HRmax). Subjects were instructed to maintain habitual nutrient intake. Plasma chemerin was analyzed using an enzyme-linked immunosorbent assay. Peripheral and hepatic insulin sensitivity was assessed using a euglycemic-hyperinsulinic clamp with glucose kinetics. First-phase and total glucose-stimulated insulin secretion (GSIS) was calculated from an oral glucose tolerance test. Fasting blood lipids (cholesterol, triglycerides), total/visceral fat (dual-x-ray absorptiometry and computerized tomography) and cardiorespiratory fitness (treadmill test) were also tested pre and post intervention. Exercise increased fitness and reduced total/visceral fat, blood lipids, and first-phase GSIS (P<0.05). Training also increased peripheral insulin sensitivity and lowered basal/insulin-related hepatic glucose production (P<0.01). The intervention reduced chemerin (87.1±6.0 vs. 78.1±5.8ng/ml; P=0.02), and the reduction correlated with decreased visceral fat (r=0.50, P=0.009), total body fat (r=0.42, P=0.02), cholesterol (r=0.38, P=0.04), triglycerides (r=0.36, P=0.05), and first-phase and total GSIS (r=0.39, P=0.03 and r=0.43, P=0.02, respectively).",Is exercise-induced lowering of chemerin associated with reduced cardiometabolic risk and glucose-stimulated insulin secretion in older adults?,Lower chemerin appears to be an important hormone involved in cardiometabolic risk and GSIS reduction following exercise in older adults.,0,"Yes, exercise-induced lowering of chemerin is associated with reduced cardiometabolic risk and decreased glucose-stimulated insulin secretion in older adults.",0.7827760577201843
"Individuals with atopic dermatitis (AD) have frequent colonization and infection with Staphylococcus aureus. Rapid elimination of S. aureus depends on constitutive synthesis and mobilization of human beta-defensin-3 (HBD-3). To determine whether keratinocytes in AD, compared with normal, skin are less able to kill S. aureus rapidly, and to assess the potential role that abnormally low mobilization of HBD-3 onto S. aureus has in this process. Skin samples from 10 normal individuals and 10 patients with AD were compared for synthesis and mobilization of HBD-3 onto surface-associated S. aureus. Furthermore, keratinocytes from 10 individuals were studied for the effects of T(H)2 cytokines on the ability of the cells to synthesize and mobilize HBD-3, and to kill S. aureus. Keratinocytes in skin biopsies from subjects with AD were defective in killing S. aureus relative to normal individuals (P < .001). The constitutive levels of HBD-3 in the epidermal keratinocytes were similar between normal individuals and those with AD. However, the cells of patients with AD were unable to mobilize HBD-3 efficiently to kill S. aureus. Physiologic Ca(++) was essential for development of normal HBD-3 levels by cultured human keratinocytes. Mobilization of HBD-3 and the ability to kill S. aureus were significantly (P < .05) inhibited by IL-4 and IL-13. Antagonism of IL-4/10/13 with antibodies significantly (P < .01) improved mobilization of HBD-3 onto the surface of S. aureus by skin from patients with AD.",Is defective killing of Staphylococcus aureus in atopic dermatitis associated with reduced mobilization of human beta-defensin-3?,"Patients with AD have problems with S. aureus skin infection. This is a result of increased levels of T(H)2 cytokines, which inhibit keratinocyte mobilization of HBD-3.",0,"Yes, defective killing of Staphylococcus aureus in atopic dermatitis is associated with reduced mobilization of human beta-defensin-3 (HBD-3).",0.6813910603523254
"In systemic non-Hodgkin lymphoma (NHL), tumors that resemble germinal center B-cells are less aggressive than tumors that resemble postgerminal center B-cells. However, the value of B-cell differentiation markers in primary central nervous system lymphoma (PCNSL) is less clear. The objectives of this study were to characterize the immunophenotypes of PCNSL samples and to determine their utility in predicting clinical outcomes. The immunohistochemical staining profile of PCNSL was determined from 66 immunocompetent patients. Then, the authors evaluated whether the expression of these proteins was associated with progression-free or overall survival. Only 8% of PCNSL samples were positive for the cluster designation (CD) germinal center marker CD10. Another germinal center marker, bcl-6, was positive in 47% of samples. Ninety-four percent of samples expressed significant levels of the postgerminal center marker melanoma-associated antigen (MUM-1). In univariate analyses, only bcl-6 staining had a significant effect on progression-free survival (median, 20.5 months in bcl-6-positive patients vs 10.1 months in bcl-6-negative patients; P = .02). There was a nonsignificant trend toward improved overall survival in patients who had bcl-6 expressing tumors. Older age and poorer performance status, as observed previously, were associated with reduced survival.",Does bcl-6 predict improved prognosis in primary central nervous system lymphoma?,Bcl-6 expression was associated with a better prognosis in patients with PCNSL.,0,"Yes, bcl-6 staining has a significant effect on progression-free survival in primary central nervous system lymphoma, with a median of 20.5 months in bcl-6-positive patients compared to 10.1 months in bcl-6-negative patients (P = .02).",0.6686086654663086
"Reduced uninvolved immunoglobulin (Ig) levels are a hallmark of multiple myeloma. We previously showed that B-cell maturation antigen (BCMA) is solubilized and at high levels in multiple myeloma patient serum. We hypothesize that soluble BCMA binds B-cell-activating factor (BAFF) preventing its function to stimulate late B cells, and would result in lower polyclonal antibody levels in these patients. Mice were dosed with recombinant human BCMA (rhBCMA) and BCMA-BAFF complexes were analyzed in plasma, and its effects on antibody and Ig heavy chain mRNA levels determined. Using flow cytometry, BAFF binding to B cells was examined in the presence of rhBCMA and sera from multiple myeloma patients. In multiple myeloma sera, BCMA-BAFF complex formation and BCMA, IgA, IgG levels, and heavy-light chain isoform pair levels were determined. rhBCMA-BAFF complexes formed in immune-competent and deficient mice. Mice with human multiple myeloma xenografts, which contain plasma hBCMA and hBCMA-BAFF complexes, showed reduced plasma-free BAFF levels. rhBCMA administered to immune competent mice markedly reduced plasma IgA, IgG, and IgM levels and splenic Ig heavy chain mRNA levels. In serum from multiple myeloma patients, BCMA-BAFF complexes were detected and BAFF levels were reduced. Multiple myeloma patient sera containing BCMA prevented binding of BAFF to B cells. There is an inverse correlation between serum BCMA and uninvolved polyclonal Ig level in multiple myeloma patients.",Does soluble B-Cell Maturation Antigen mediate Tumor-Induced Immune Deficiency in Multiple Myeloma?,"Our results show that soluble BCMA sequesters circulating BAFF, thereby preventing it from performing its signaling to stimulate normal B-cell and plasma cell development, resulting in reduced polyclonal antibody levels in multiple myeloma patients. Clin Cancer Res; 22(13); 3383-97. ©2016 AACR.",0,"Yes, soluble B-Cell Maturation Antigen (BCMA) mediates tumor-induced immune deficiency in Multiple Myeloma by binding to B-cell-activating factor (BAFF), preventing its function to stimulate late B cells, which results in lower polyclonal antibody levels in patients.",0.6744522452354431
"An ideal pharmaceutical treatment for abdominal aortic aneurysm (AAA) is to prevent aneurysm formation and development (further dilatation of pre-existing aneurysm). Recent studies have reported that oxidative stress with reactive oxygen species (ROS) is crucial in aneurysm formation. We hypothesized that edaravone, a free-radical scavenger, would attenuate vascular oxidative stress and inhibit AAA formation and development. An AAA model induced with intraluminal elastase and extraluminal calcium chloride was created in 42 rats. Thirty-six rats were divided three groups: a low-dose (group LD; 1 mg/kg/d), high-dose (group HD; 5 mg/kg/d), and control (group C, saline). Edaravone or saline was intraperitoneally injected twice daily, starting 30 minutes before aneurysm preparation. The remaining six rats (group DA) received a delayed edaravone injection (5 mg/kg/d) intraperitoneally, starting 7 days after aneurysm preparation to 28 days. AAA dilatation ratio was calculated. Pathologic examination was performed. ROS expression was semi-quantified by dihydroethidium staining and the oxidative product of DNA induced by ROS, 8-hydroxydeoxyguanosine (8-OHdG), by immunohistochemical staining. At day 7, ROS expression and 8-OHdG-positive cells in aneurysm walls were decreased by edaravone treatment (ROS expression: 3.0 ± 0.5 in group LD, 1.7 ± 0.3 in group HD, and 4.8 ± 0.7 in group C; 8-OHdG-positive cells: 106.2 ± 7.8 cells in group LD, 64.5 ± 7.7 cells in group HD, and 136.6 ± 7.4 cells in group C; P < .0001), compared with group C. Edaravone treatment significantly reduced messenger RNA expressions of cytokines and matrix metalloproteinases (MMPs) in aneurysm walls (MMP-2: 1.1 ± 0.5 in group LD, 0.6 ± 0.1 in group HD, and 2.3 ± 0.4 in group C; P < .001; MMP-9: 1.2 ± 0.1 in group LD, 0.2 ± 0.6 in group HD, and 2.4 ± 0.2 in group C; P < .001). At day 28, aortic walls in groups LD and HD were less dilated, with increased wall thickness and elastin content than those in group C (dilatation ratio: 204.7% ± 16.0% in group C, 156.5% ± 6.6% in group LD, 136.7% ± 2.0% in group HD; P < .0001). Delayed edaravone administration significantly prevented further aneurysm dilatation, with increased elastin content (155.2% ± 2.9% at day 7, 153.1% ± 11.6% at day 28; not significant).",Does free-radical scavenger edaravone inhibit both formation and development of abdominal aortic aneurysm in rats?,Edaravone inhibition of ROS can prevent aneurysm formation and expansion in the rat AAA model. Free-radical scavenger edaravone might be an effective pharmaceutical agent for AAA in clinical practice.,0,"Yes, free-radical scavenger edaravone inhibits both the formation and development of abdominal aortic aneurysm in rats.",0.7496553063392639
"Increased oxidant levels have been associated with exacerbations of COPD, and L-carbocisteine, a mucolytic agent, reduces the frequency of exacerbations. The mechanisms underlying the inhibitory effects of L-carbocisteine on oxidant-induced COPD exacerbations were examined in an in vitro study of human airway epithelial cells. In order to examine the antioxidant effects of L-carbocisteine, human tracheal epithelial cells were treated with L-carbocisteine and exposed to hydrogen peroxide (H(2)O(2)). Cell apoptosis was assessed using a cell death detection ELISA, and the pathways leading to cell apoptosis were examined by measurement of caspase-3 and caspase-9 by western blot analysis with fluorescent detection. The proportion of apoptotic cells in human tracheal epithelium was increased in a concentration- and time-dependent manner, following exposure to H(2)O(2). Treatment with L-carbocisteine reduced the proportion of apoptotic cells. In contrast, H(2)O(2) did not increase the concentration of LDH in supernatants of epithelial cells. Exposure to H(2)O(2) activated caspase-3 and caspase-9, and L-carbocisteine inhibited the H(2)O(2)-induced activation of these caspases. L-carbocisteine activated Akt phosphorylation, which modulates caspase activation, and the inhibitors of Akt, LY294002 and wortmannin, significantly reversed the inhibitory effects of L-carbocisteine on H(2)O(2)-induced cell apoptosis.",Does carbocisteine inhibit oxidant-induced apoptosis in cultured human airway epithelial cells?,"These findings suggest that in human airway epithelium, L-carbocisteine may inhibit cell damage induced by H(2)O(2) through the activation of Akt phosphorylation. L-carbocisteine may have antioxidant effects, as well as mucolytic activity, in inflamed airways.",0,"The provided context does not mention carbocisteine or its effects on oxidant-induced apoptosis in cultured human airway epithelial cells. Therefore, based on the available information, it cannot be determined whether carbocisteine inhibits oxidant-induced apoptosis in these cells.",0.6634342670440674
"This study sought to test whether transmyocardial laser revascularization (TMLR) stimulates angiogenesis in an animal model of chronic ischemia. TMLR relieves angina and may also improve blood flow in patients who are not candidates for traditional therapies. The mechanisms of these benefits are not fully defined. Ischemia was created in 14 dogs by proximal left anterior descending coronary ameroid constrictors. TMLR was performed in the anterior wall (approximately 1 channel/cm2) of seven dogs; the remaining dogs served as the ischemic control group. Myocardial blood flow was measured (colored microspheres) at rest and during chemical stress (adenosine) in the acute setting and after 2 months. TMLR did not influence blood flow in the acute setting. After 2 months, resting blood flow increased comparably in the anterior wall in both groups to approximately 80% of normal. However, the TMLR-treated dogs demonstrated an approximately 40% increase in blood flow capacity during stress in the ischemic territory compared with untreated dogs (left anterior descending coronary artery/left circumflex coronary artery flow 0.53+/-0.16 in the control group vs. 0.73+/-0.08 in TMLR animals, p < 0.05). Vascular proliferation, assessed by bromodeoxyuridine incorporation and proliferating cell nuclear antigen positivity in endothelial and smooth muscle cells was about four times greater in the TMLR group than in the control group (p < 0.001). The density of vessels with at least one smooth muscle cell layer was approximately 1.4 times greater in the myocardium surrounding the TMLR channel remnants than in control ischemic tissue (p < 0.001).",Is angiogenesis enhanced in ischemic canine myocardium by transmyocardial laser revascularization?,"In this canine model of chronic ischemia, TMLR significantly enhances angiogenesis as evidenced by the increased number of vessels lined with smooth muscle cells, markedly increased vascular proliferation and increased blood flow capacity during stress.",0,"Yes, angiogenesis is enhanced in ischemic canine myocardium by transmyocardial laser revascularization (TMLR), as indicated by increased vascular proliferation and greater vessel density in the TMLR-treated group compared to the control group.",0.699556827545166
"The aim of this study was to gain a better understanding of the hemodynamic actions of insulin on cutaneous microcirculation in persons with spinal cord injury (SCI). A prospective, open-label, nonrandomized, placebo-controlled investigation was performed in an otherwise healthy cohort of persons with SCI (n = 10) and in an age- and sex-matched cohort of control subjects whose neurologic function is intact (n = 10). Laser Doppler flowmetry characterized the peak blood perfusion unit (BPU) response (percent change from baseline) to insulin or placebo iontophoresis above and below the neurologic level of injury. Placebo iontophoresis did not result in any statistically significant changes in BPU. In the arm, insulin iontophoresis resulted in a 20% mean increase in BPU (P < 0.05) in the control group and a 9% mean increase in the SCI group (P = 0.14). In the leg, insulin iontophoresis resulted in an 81% (P < 0.01) mean increase in BPU in the control group and a 29% (P < 0.001) mean increase in BPU in the SCI group. The relative effect of insulin on the lower extremity BPU response was significantly greater (P < 0.05) in the control group compared with the SCI group (77% vs. 35%, respectively).",Are the hemodynamic actions of insulin blunted in the sublesional microvasculature of healthy persons with spinal cord injury?,"The hemodynamic actions of insulin are markedly blunted in the sublesional microvasculature of persons with SCI, most likely as a result of impaired sublesional sympathetic nervous system control.",0,"Yes, the hemodynamic actions of insulin are blunted in the sublesional microvasculature of healthy persons with spinal cord injury, as indicated by a significantly lower increase in blood perfusion unit (BPU) response to insulin iontophoresis compared to control subjects.",0.7442891597747803
"The nodal status is an established prognostic factor in ampullary carcinoma. The aim of this study was to compare the prognostic power of the anatomic location of positive nodes with that of the number of positive nodes. Of 73 consecutive patients treated for ampullary carcinoma, 62 underwent pancreaticoduodenectomy with regional lymphadenectomy. A survival analysis of these 62 patients by nodal status was conducted retrospectively. A total of 1942 lymph nodes taken from the patients were examined histologically for metastasis. The location of positive regional nodes was classified into 4 categories, according to the Japanese staging system. The number of positive regional nodes was recorded for each patient. The median follow-up period was 124 months. Nodal disease was found in 31 patients, of whom 23 had 1-3 positive regional nodes and 8 had >or=4 positive regional nodes. Univariate analysis revealed that both the location (p<0.0001) and the number (p<0.0001) of positive nodes were significant prognostic factors. Multivariate analysis revealed that the number of positive nodes was an independent prognostic factor (p=0.007), while the location failed to remain as an independent variable. The median survival time was 59 months with a 5-year survival rate of 48% in patients with 1-3 positive nodes, whereas all patients with >or=4 positive nodes died of the disease within 29 months of resection (p=0.0001).",Does number of positive lymph nodes independently affect long-term survival after resection in patients with ampullary carcinoma?,"The number, not the location, of positive regional lymph nodes independently affects long-term survival after resection in patients with ampullary carcinoma.",0,"Yes, the number of positive lymph nodes independently affects long-term survival after resection in patients with ampullary carcinoma.",0.9248678684234619
"To determine the association between maternal syphilis and HIV mother-to-child transmission (MTCT). Prospective cohort study. Pregnant women admitted at Queen Elizabeth Central Hospital (Malawi) in late third trimester were screened for HIV (by HIV rapid tests) and syphilis (by rapid plasma regain test and Treponema pallidum hemagglutination assay). HIV-infected women and their infants received nevirapine, according to the HIVNET 012 protocol. They were followed up at 6 and 12 weeks postpartum. Infant HIV infection was diagnosed by DNA PCR. Of the 1155 HIV-infected women enrolled, 1147 had syphilis test results, of whom 92 (8.0%) were infected. Only 751 HIV-positive women delivered live singleton infants who were tested for HIV at birth. Of these, 65 (8.7%) were HIV-infected, suggesting in utero (IU) HIV MTCT. Of the 686 infants who were HIV-negative at birth, 507 were successfully followed up. Of these, 89 (17.6%) became HIV-infected, suggesting intrapartum/postpartum (IP/PP) HIV MTCT. Maternal syphilis was associated with IU HIV MTCT, after adjusting for maternal log10 HIV-1 viral load and low birth weight (LBW) [adjusted relative risk (ARR), 2.77; 95% CI, 1.40-5.46]. Furthermore, maternal syphilis was associated with IP/PP HIV MTCT (ARR, 2.74; 95% CI, 1.58-4.74), after adjusting for recent fever, breast infection, LBW and maternal log10 HIV-1 viral load.",Is maternal syphilis infection associated with increased risk of mother-to-child transmission of HIV in Malawi?,Maternal syphilis is associated with IU and IP/PP HIV MTCT. Screening and early treatment of maternal syphilis during pregnancy may reduce pediatric HIV infections.,0,"Yes, maternal syphilis infection is associated with an increased risk of mother-to-child transmission of HIV in Malawi.",0.6945289969444275
"The purpose of this study was to examine ventilatory parameters, gas exchange, and exercise tolerance in sheep undergoing cardiopulmonary exercise testing and pulmonary function testing at baseline and after induction of emphysema using nebulized papain, to improve our understanding of the contributions of parenchymal emphysema with minimal airway disease to exertional dysfunction in mild-to-moderate emphysema. Static lung physiology (total lung capacity, residual volume, static elastance, and diffusing capacity of carbon monoxide) and lung (ZL) input impedance were measured, and cardiopulmonary exercise testing (CPET) was performed in 12 sheep before and after induction of emphysema. Papain treatment was delivered over a 12-wk period, as a single dose per week, to induce mild-to-moderate emphysema without airway disease. Static and dynamic lung physiology, as well as CPET, were then repeated. At the emphysema time point (EMPH), all animals were asymptomatic for emphysema at rest. There was a 60% increase in residual volume and a 57% decrease in static elastance, accompanied by a 36% reduction in diffusing capacity. Airway resistance was consistently, mildly increased, resulting in an increased expiratory time constant for all sheep at EMPH. There were no significant differences at EMPH versus baseline for any measured physiological variables during CPET (VO2peak, VCO2peak, RER, anaerobic threshold, O2 pulse, tidal volume, peak flow, peak VE/VO2, or peak VE).",Do pulmonary function tests fail to predict exercise intolerance in sheep with emphysema?,"There is notable conservation of exercise capacity in sheep with mild-to-moderate parenchymal emphysema; this is not predicted by pulmonary function tests. In the absence of significant airway narrowing, mild-to-moderate emphysema is unlikely to result in airflow limitation.",0,"Yes, pulmonary function tests failed to predict exercise intolerance in sheep with emphysema, as there were no significant differences in physiological variables during cardiopulmonary exercise testing (CPET) at the emphysema time point compared to baseline.",0.6941453814506531
"To investigate the frequency of variants in 3 major age-related macular degeneration (AMD)-associated loci in patients of European-American descent with polypoidal choroidal vasculopathy (PCV). Cross-sectional, case-control association study. Fifty-five patients with PCV, 368 patients with advanced AMD, and 368 age-matched and ethnically matched unaffected controls of European-American descent. Association analysis of allele and genotype frequencies, determined by TaqMan assays, was performed for the following haplotype-tagging single nucleotide polymorphisms (htSNPs): risk alleles in the complement factor H (CFH) gene (Y402H and IVS14) in the ARMS2/HTRA1 locus on 10q26 (A69S) and protective alleles in CFH (IVS1 and IVS6) and in the complement factor B/complement component C2 (CFB/C2) locus (IVS10 and H9L). Allele and genotype frequencies of the htSNPs in the CFH, CFB/C2, and ARMS2/HTRA1 loci. Four AMD-associated haplotype-tagging alleles (rs547154, rs1061170, rs1410996, rs10490924) in the 3 major loci, CFH, CFB/C2, and ARMS2/HTRA1, also were statistically significantly associated with the PCV phenotype (P<0.05). Three other alleles from the same loci (rs4151667, rs529825, rs3766404) showed a trend toward association (P<0.2) but did not reach statistical significance, possibly because of the combined effects of a relatively small sample size and low minor allele frequency in the screened populations.",Are three major loci involved in age-related macular degeneration also associated with polypoidal choroidal vasculopathy?,"The PCV phenotype in Caucasian patients is associated with the major alleles/genotypes in the AMD-associated loci, suggesting that PCV and AMD are genetically similar in the tested loci.",0,"Yes, the three major loci involved in age-related macular degeneration (AMD) are also associated with polypoidal choroidal vasculopathy (PCV). Statistically significant associations were found for four AMD-associated haplotype-tagging alleles in these loci with the PCV phenotype.",0.6517141461372375
"Celastrol, a quinone methide extracted from the root of Tripterygium wilfordii Hook, possesses anti-oxidant and anti-inflammatory effects. Tripterygium wilfordii Hook is officially listed in the Chinese Pharmacopoeia and is used traditionally against rheumatoid arthritis, ankylosing spondylitis, and cancer. Furthermore, the circulatory protective effect of celastrol on an in vivo animal model of sepsis was investigated. Sepsis is a systemic inflammatory disorder that increases tissue oxidative stress and leads to multiple organ injury. We evaluated the beneficial effects of celastrol on multiple organ failure induced by lipopolysaccharide (LPS) in rats. Celastrol (0.5 and 1.0 mg/kg, i.v.) was administered to anaesthetized rats 2 h before and 30 min after LPS challenge (10 mg/kg, i.v.). Eight hours later, cardiac and aortic protein expressions related to inflammatory responses, superoxide anion production, and reduced glutathione (GSH) level were measured. Treatment with celastrol prevented circulatory failure (bradycardia and hypotension) 8h after LPS challenge. The plasma levels of ALT, LDH, TNF-α, and nitric oxide metabolites increased markedly during sepsis, which significantly reduced after celastrol treatments. Celastrol attenuated iNOS, TNF-α, NF-κB phospho-p65 expression, superoxide anion production, and caspase 3 activity in the cardiovascular system, all of which were markedly elevated after LPS challenge. Furthermore, celastrol induced HO-1 and HSP70 expressions increase in nuclear levels of Nrf2 and HSF-1, respectively, and increase cardiac GSH level 8h after LPS challenge.",Does celastrol prevent circulatory failure via induction of heme oxygenase-1 and heat shock protein 70 in endotoxemic rats?,Anti-inflammatory and anti-oxidant effects of celastrol contribute to prevent circulatory failure in sepsis. Induction of HO-1 and HSP70 by celastrol participates in these beneficial effects.,0,"Yes, celastrol prevents circulatory failure via the induction of heme oxygenase-1 and heat shock protein 70 in endotoxemic rats.",0.7154159545898438
"Unconjugated bilirubin (UCB) can be neurotoxic in jaundiced neonates and in patients with Crigler-Najjar syndrome. UCB toxicity may culminate in cell death, however, the occurrence of apoptosis has never been investigated. Ursodeoxycholic acid (UDCA) is a strong modulator of the apoptotic threshold in both hepatic and nonhepatic cells. The aims of this study were to determine whether apoptosis plays a role in neural cell death induced by UCB, and to investigate the ability of UDCA to prevent cell death. Cultured rat astrocytes were incubated with UCB (17 and 86 microM) plus albumin (5.7 and 28.7 microM) for 4-22 h. In addition, astrocytes and neurones were treated with either UCB, 50 microM UDCA, or their combination for 4 h. Cultures were scored for nonviable cells by trypan blue dye exclusion. Apoptosis was assessed by Hoechst staining and terminal deoxynucleotidyl transferase-mediated deoxyuridine triphosphate nick end-labelling assay. UCB induced a concentration- and time-dependent decrease in astrocyte viability. Apoptosis was 4- and 7-fold increased after 4 h exposure to 17 and 86 microM UCB, respectively (P < 0.01). UDCA reduced apoptosis to <7%, which represents a appoximately 60% protection (P < 0.01). Cholic acid was not protective, and chenodeoxyholic acid aggravated UCB toxicity (P < 0.05). Finally, neurones showed a 1.5-fold greater sensitivity than astrocytes to UCB, while UDCA was still protective.",Is bilirubin-induced apoptosis in cultured rat neural cells aggravated by chenodeoxycholic acid but prevented by ursodeoxycholic acid?,"UCB is toxic to both astrocytes and neurones, causing cell death through an apoptotic process. Moreover, UDCA inhibits UCB-induced apoptosis in neural cells and this could not be mimicked by other bile acids.",0,"Yes, bilirubin-induced apoptosis in cultured rat neural cells is aggravated by chenodeoxycholic acid and prevented by ursodeoxycholic acid.",0.6439934968948364
"A soluble decoy receptor 3 (DcR3), also known as TR6 or M68, is a member of the TNF receptor family. It has been reported that high DcR3 expression occurs in many tumors. This prospective study evaluated the DcR3 tissue status by RT-PCR and its correlation with the lymph node (N) stages in 62 primary gastric cancers. DcR3 expression levels in patients with pN2-3 disease were much higher than those in patients with pN0-1 disease (median values 1.31 vs. 0, P < 0.01). Using ROC analysis, a cutoff level of DcR3 expression at 1.20 was found to be associated with optimal sensitivity and specificity of 62.5% (15 of 24) and 92.1% (35 of 38) respectively, in the prediction of stage pN2-3. According to the cutoff value, patients were divided into 2 groups with relatively high and low levels of DcR3 expression. Among the 18 patients with high DcR3 expression, 83.3% (15 of 18) were staged as pN2-3. In the other 44 patients with low DcR3 expression, only 20.5% (9 of 44) were identified as pN2-3. Logistic regression analysis for stage pN2-3 revealed that high DcR3 expression was an independent risk factor.",Does high DcR3 expression predict stage pN2-3 in gastric cancer?,Gastric cancer patients with high DcR3 expression presented more advanced pN2-3 disease than those with low DcR3 expression. Preoperative checking DcR3 expression might be an additional approach to imaging modalities for evaluating N stages in gastric cancer to guide the operative procedures.,0,"Yes, high DcR3 expression predicts stage pN2-3 in gastric cancer, as patients with high DcR3 expression had significantly higher rates of being staged as pN2-3 compared to those with low expression.",0.7560142874717712
