context,question,answers,topic_lda,question_class,generated_answer,bert_f1
"While the book was readable enough to sell, its dryness ensured that it was seen as aimed at specialist scientists and could not be dismissed as mere journalism or imaginative fiction. Unlike the still-popular Vestiges, it avoided the narrative style of the historical novel and cosmological speculation, though the closing sentence clearly hinted at cosmic progression. Darwin had long been immersed in the literary forms and practices of specialist science, and made effective use of his skills in structuring arguments. David Quammen has described the book as written in everyday language for a wide audience, but noted that Darwin's literary style was uneven: in some places he used convoluted sentences that are difficult to read, while in other places his writing was beautiful. Quammen advised that later editions were weakened by Darwin making concessions and adding details to address his critics, and recommended the first edition. James T. Costa said that because the book was an abstract produced in haste in response to Wallace's essay, it was more approachable than the big book on natural selection Darwin had been working on, which would have been encumbered by scholarly footnotes and much more technical detail. He added that some parts of Origin are dense, but other parts are almost lyrical, and the case studies and observations are presented in a narrative style unusual in serious scientific books, which broadened its audience.",What reason did David Quammen believe that On the Origin of Species was weakened in later editions?,Darwin making concessions and adding details to address his critics,0,DESC,Concessions and added details,0.8705876469612122
"Avicenna's astronomical writings had some influence on later writers, although in general his work could be considered less developed than Alhazen or Al-Biruni. One important feature of his writing is that he considers mathematical astronomy as a separate discipline to astrology. He criticized Aristotle's view of the stars receiving their light from the Sun, stating that the stars are self-luminous, and believed that the planets are also self-luminous. He claimed to have observed Venus as a spot on the Sun. This is possible, as there was a transit on May 24, 1032, but Avicenna did not give the date of his observation, and modern scholars have questioned whether he could have observed the transit from his location at that time; he may have mistaken a sunspot for Venus. He used his transit observation to help establish that Venus was, at least sometimes, below the Sun in Ptolemaic cosmology, i.e. the sphere of Venus comes before the sphere of the Sun when moving out from the Earth in the prevailing geocentric model.",What philosopher thought the stars received their light from the sun?,Aristotle,0,ENTY,Anaxagoras,0.7470989227294922
"Along with dividing up their project by theoretical emphasis, anthropologists typically divide the world up into relevant time periods and geographic regions. Human time on Earth is divided up into relevant cultural traditions based on material, such as the Paleolithic and the Neolithic, of particular use in archaeology.[citation needed] Further cultural subdivisions according to tool types, such as Olduwan or Mousterian or Levalloisian help archaeologists and other anthropologists in understanding major trends in the human past.[citation needed] Anthropologists and geographers share approaches to Culture regions as well, since mapping cultures is central to both sciences. By making comparisons across cultural traditions (time-based) and cultural regions (space-based), anthropologists have developed various kinds of comparative method, a central part of their science.","Olduwan, Mousterian, and Levalloisian are all types of what?",tool,0,ENTY,Stone tools,0.8653010725975037
"As advances and specialization have made new scientific research inaccessible to most audiences, the ""literary"" nature of science writing has become less pronounced over the last two centuries. Now, science appears mostly in journals. Scientific works of Aristotle, Copernicus, and Newton still exhibit great value, but since the science in them has largely become outdated, they no longer serve for scientific instruction. Yet, they remain too technical to sit well in most programmes of literary study. Outside of ""history of science"" programmes, students rarely read such works.",The work of what classical scientists is caught between being outdated and of literary importance?,"Aristotle, Copernicus, and Newton",0,ENTY,"Aristotle, Copernicus, Newton",0.9783512353897095
"In China, the war is officially called the ""War to Resist U.S. Aggression and Aid Korea"" (simplified Chinese: 抗美援朝战争; traditional Chinese: 抗美援朝戰爭; pinyin: Kàngměiyuáncháo zhànzhēng), although the term ""Chaoxian (Korean) War"" (simplified Chinese: 朝鲜战争; traditional Chinese: 朝鮮戰爭; pinyin: Cháoxiǎn zhànzhēng) is also used in unofficial contexts, along with the term ""Korean Conflict"" (simplified Chinese: 韩战; traditional Chinese: 韓戰; pinyin: Hán Zhàn) more commonly used in regions such as Hong Kong and Macau.",What did Macau and Hong Kong call the Korean War?,Korean Conflict,0,ENTY,Korean Conflict,1.000000238418579
"The Tibetan Empire emerged in the 7th century, but with the fall of the empire the region soon divided into a variety of territories. The bulk of western and central Tibet (Ü-Tsang) was often at least nominally unified under a series of Tibetan governments in Lhasa, Shigatse, or nearby locations; these governments were at various times under Mongol and Chinese overlordship. The eastern regions of Kham and Amdo often maintained a more decentralized indigenous political structure, being divided among a number of small principalities and tribal groups, while also often falling more directly under Chinese rule after the Battle of Chamdo; most of this area was eventually incorporated into the Chinese provinces of Sichuan and Qinghai. The current borders of Tibet were generally established in the 18th century.",Which battle left parts of Tibet under Chinese rule?,Battle of Chamdo,0,ENTY,Battle of Chamdo,1.0
"Unlike Modern English, Old English is a language rich in morphological diversity. It maintains several distinct cases: the nominative, accusative, genitive, dative and (vestigially) instrumental. The only remnants of this system in Modern English are in the forms of a few pronouns (such as I/me/mine, she/her, who/whom/whose) and in the possessive ending -'s, which derives from the old (masculine and neuter) genitive ending -es. In Old English, however, nouns and their modifying words take appropriate endings depending on their case.",The Modern English ending -'s is derived from what ending in Old English?,-es,0,ENTY,-es,1.0
"The politics of Zhejiang is structured in a dual party-government system like all other governing institutions in Mainland China. The Governor of Zhejiang is the highest-ranking official in the People's Government of Zhejiang. However, in the province's dual party-government governing system, the Governor is subordinate to the Zhejiang Communist Party of China (CPC) Provincial Committee Secretary, colloquially termed the ""Zhejiang CPC Party Chief"".",What is the Zhejiang Communist Party of China (CPC) Provincial Committee Secretary provincially known as?,Zhejiang CPC Party Chief,0,HUM,Zhejiang CPC Party Chief,0.9999999403953552
"In contrast, Joseph Smith, the founder of the Latter Day Saint movement, taught: ""There is no such thing as immaterial matter. All spirit is matter, but it is more fine or pure, and can only be discerned by purer eyes; We cannot see it; but when our bodies are purified we shall see that it is all matter."" This spirit element has always existed; it is co-eternal with God. It is also called ""intelligence"" or ""the light of truth"", which like all observable matter ""was not created or made, neither indeed can be"". Members of the Church of Jesus Christ of Latter-day Saints view the revelations of Joseph Smith as a restoration of original Christian doctrine, which they believe post-apostolic theologians began to corrupt in the centuries after Christ. The writings of many[quantify] of these theologians indicate a clear influence of Greek metaphysical philosophies such as Neoplatonism, which characterized divinity as an utterly simple, immaterial, formless, substance/essence (ousia) that transcended all that was physical. Despite strong opposition from many Christians, this metaphysical depiction of God eventually became incorporated into the doctrine of the Christian church, displacing the original Judeo-Christian concept of a physical, corporeal God who created humans in His image and likeness.",Which religious group strongly opposed the idea of Neoplatonism?,Christians,0,HUM,Christians,0.9999998807907104
"Until the second half of the 15th century the empire had a Christian majority, under the rule of a Muslim minority. In the late 19th century, the non-Muslim population of the empire began to fall considerably, not only due to secession, but also because of migratory movements. The proportion of Muslims amounted to 60% in the 1820s, gradually increasing to 69% in the 1870s and then to 76% in the 1890s. By 1914, only 19.1% of the empire's population was non-Muslim, mostly made up of Christian Greeks, Assyrians, Armenians, and Jews.",What group began to decline within the Empire in the late 19th century?,the non-Muslim population,0,HUM,Janissaries,0.8136842250823975
"On October 28, 1989, the Ukrainian Supreme Soviet decreed that effective January 1, 1990, Ukrainian would be the official language of Ukraine, while Russian would be used for communication between ethnic groups. On the same day The Congregation of the Church of the Transfiguration in Lviv left the Russian Orthodox Church and proclaimed itself the Ukrainian Greek Catholic Church. The following day, thousands attended a memorial service at Demianiv Laz, and a temporary marker was placed to indicate that a monument to the ""victims of the repressions of 1939–1941"" soon would be erected.",Who decided Ukraine's official language?,Ukrainian Supreme Soviet,0,HUM,Ukrainian government,0.8848382830619812
"The Anglo-French hostilities were ended in 1763 by the Treaty of Paris, which involved a complex series of land exchanges, the most important being France's cession to Spain of Louisiana, and to Great Britain the rest of New France except for the islands of St. Pierre and Miquelon. Faced with the choice of retrieving either New France or its Caribbean island colonies of Guadeloupe and Martinique, France chose the latter to retain these lucrative sources of sugar, writing off New France as an unproductive, costly territory. France also returned Minorca to the British. Spain lost control of Florida to Great Britain, but it received from the French the Île d'Orléans and all of the former French holdings west of the Mississippi River. The exchanges suited the British as well, as their own Caribbean islands already supplied ample sugar, and, with the acquisition of New France and Florida, they now controlled all of North America east of the Mississippi.",Who ended up owning Louisiana?,the most important being France's cession to Spain of Louisiana,0,HUM,Spain,0.8218839764595032
"Knights Grand Cross and Knights Commander prefix Sir, and Dames Grand Cross and Dames Commander prefix Dame, to their forenames.[b] Wives of Knights may prefix Lady to their surnames, but no equivalent privilege exists for husbands of Knights or spouses of Dames. Such forms are not used by peers and princes, except when the names of the former are written out in their fullest forms. Clergy of the Church of England or the Church of Scotland do not use the title Sir or Dame as they do not receive the accolade (i.e., they are not dubbed ""knight"" with a sword), although they do append the post-nominal letters.","Who would prefix Sir, and Dames Grand Cross?",Knights Grand Cross and Knights Commander,0,HUM,Knights Grand Cross and Knights Commander,0.9999998807907104
"Napoleon was born in Corsica to a relatively modest family of noble Tuscan ancestry. Napoleon supported the French Revolution from the outset in 1789 while serving in the French army, and he tried to spread its ideals to Corsica but was banished from the island in 1793. Two years later, he saved the French government from collapse by firing on the Parisian mobs with cannons. The Directory rewarded Napoleon by giving him command of the Army of Italy at age 26, when he began his first military campaign against the Austrians and their Italian allies, scoring a series of decisive victories that made him famous all across Europe. He followed the defeat of the Allies in Europe by commanding a military expedition to Egypt in 1798, invading and occupying the Ottoman province after defeating the Mamelukes and launching modern Egyptology through the discoveries made by his army.",Where was Napoleon born?,Corsica,0,LOC,Ajaccio,0.8031606674194336
"Anglo-Saxons arrived as Roman power waned in the 5th century AD. Initially, their arrival seems to have been at the invitation of the Britons as mercenaries to repulse incursions by the Hiberni and Picts. In time, Anglo-Saxon demands on the British became so great that they came to culturally dominate the bulk of southern Great Britain, though recent genetic evidence suggests Britons still formed the bulk of the population. This dominance creating what is now England and leaving culturally British enclaves only in the north of what is now England, in Cornwall and what is now known as Wales. Ireland had been unaffected by the Romans except, significantly, having been Christianised, traditionally by the Romano-Briton, Saint Patrick. As Europe, including Britain, descended into turmoil following the collapse of Roman civilisation, an era known as the Dark Ages, Ireland entered a golden age and responded with missions (first to Great Britain and then to the continent), the founding of monasteries and universities. These were later joined by Anglo-Saxon missions of a similar nature.",What area did the Anglo-Saxons begin to dominate in the British Isles?,southern Great Britain,0,LOC,Southern Great Britain,0.9992430806159973
"John Locke, one of the most influential Enlightenment thinkers, based his governance philosophy in social contract theory, a subject that permeated Enlightenment political thought. The English philosopher Thomas Hobbes ushered in this new debate with his work Leviathan in 1651. Hobbes also developed some of the fundamentals of European liberal thought: the right of the individual; the natural equality of all men; the artificial character of the political order (which led to the later distinction between civil society and the state); the view that all legitimate political power must be ""representative"" and based on the consent of the people; and a liberal interpretation of law which leaves people free to do whatever the law does not explicitly forbid.",Which of Hobbes' ideas led to the distinction between civil society and the state?,the artificial character of the political order,0,LOC,Artificial character of the political order,0.9607921242713928
"Because of its neutrality, Yugoslavia would often be rare among Communist countries to have diplomatic relations with right-wing, anti-Communist governments. For example, Yugoslavia was the only communist country allowed to have an embassy in Alfredo Stroessner's Paraguay. One notable exception to Yugoslavia's neutral stance toward anti-communist countries was Chile under Pinochet; Yugoslavia was one of many countries which severed diplomatic relations with Chile after Salvador Allende was overthrown. Yugoslavia also provided military aid and arms supplies to staunchly anti-Communist regimes such as that of Guatemala under Kjell Eugenio Laugerud García.",What country did Kjell Eugenio Laugerud Garcia lead?,Guatemala,0,LOC,Guatemala,1.0
"The Battle of Wörth (also known as Fröschwiller or Reichshoffen) began when the two armies clashed again on 6 August near Wörth in the town of Fröschwiller, about 10 miles (16 km) from Wissembourg. The Crown Prince of Prussia's 3rd army had, on the quick reaction of his Chief of Staff General von Blumenthal, drawn reinforcements which brought its strength up to 140,000 troops. The French had been slowly reinforced and their force numbered only 35,000. Although badly outnumbered, the French defended their position just outside Fröschwiller. By afternoon, the Germans had suffered c. 10,500 killed or wounded and the French had lost a similar number of casualties and another c. 9,200 men taken prisoner, a loss of about 50%. The Germans captured Fröschwiller which sat on a hilltop in the centre of the French line. Having lost any hope for victory and facing a massacre, the French army disengaged and retreated in a westerly direction towards Bitche and Saverne, hoping to join French forces on the other side of the Vosges mountains. The German 3rd army did not pursue the French but remained in Alsace and moved slowly south, attacking and destroying the French garrisons in the vicinity.","Instead of pursuing the French as they retreated, the Germans decided to remain where?",Alsace,0,LOC,Orléans,0.7973095178604126
"The Andaman and Nicobar Islands of India are geographically considered part of Southeast Asia. Eastern Bangladesh and the Seven Sister States of India are culturally part of Southeast Asia and sometimes considered both South Asian and Southeast Asian. The Seven Sister States of India are also geographically part of Southeast Asia.[citation needed] The rest of the island of New Guinea which is not part of Indonesia, namely, Papua New Guinea, is sometimes included so are Palau, Guam, and the Northern Mariana Islands, which were all part of the Spanish East Indies.[citation needed]",Which countries are culturally a part of Southeast Asia?,Eastern Bangladesh and the Seven Sister States of India,0,LOC,"East Timor, Christmas Island, Cocos (Keeling) Islands",0.8235360980033875
"In Japan, 14 August is considered to be the day that the Pacific War ended. However, as Imperial Japan actually surrendered on 15 August, this day became known in the English-speaking countries as ""V-J Day"" (Victory in Japan). The formal Japanese Instrument of Surrender was signed on 2 September 1945, on the battleship USS Missouri, in Tokyo Bay. The surrender was accepted by General Douglas MacArthur as Supreme Commander for the Allied Powers, with representatives of several Allied nations, from a Japanese delegation led by Mamoru Shigemitsu and Yoshijiro Umezu.",What date does Japan consider the end of the Pacific War?,14 August,0,NUM,15 August 1945,0.9283425807952881
"According to the apocryphal Gospel of James, Mary was the daughter of Saint Joachim and Saint Anne. Before Mary's conception, Anne had been barren and was far advanced in years. Mary was given to service as a consecrated virgin in the Temple in Jerusalem when she was three years old, much like Hannah took Samuel to the Tabernacle as recorded in the Old Testament. Some apocryphal accounts state that at the time of her betrothal to Joseph, Mary was 12–14 years old, and he was thirty years old, but such accounts are unreliable.",How old was Mary when she was consecrated as a virgin?,three years old,0,NUM,Three years old,0.9993298053741455
"The earliest evidence of the presence of human ancestors in the southern Balkans, dated to 270,000 BC, is to be found in the Petralona cave, in the Greek province of Macedonia. All three stages of the stone age (Paleolithic, Mesolithic, and Neolithic) are represented in Greece, for example in the Franchthi Cave. Neolithic settlements in Greece, dating from the 7th millennium BC, are the oldest in Europe by several centuries, as Greece lies on the route via which farming spread from the Near East to Europe.",What activity led to Greece having some of the earliest Stone Age settlements?,farming,0,NUM,Farming,0.9993387460708618
"The term was created in 1920 by Hans Winkler, professor of botany at the University of Hamburg, Germany. The Oxford Dictionary suggests the name to be a blend of the words gene and chromosome. However, see omics for a more thorough discussion. A few related -ome words already existed—such as biome, rhizome, forming a vocabulary into which genome fits systematically.",In what year was the word genome first created?,1920,0,NUM,1920,1.0
"Rome's military confederation with the other peoples of the Italian peninsula meant that half of Rome's army was provided by the Socii, such as the Etruscans, Umbrians, Apulians, Campanians, Samnites, Lucani, Bruttii, and the various southern Greek cities. Polybius states that Rome could draw on 770,000 men at the beginning of the Second Punic War, of which 700,000 were infantry and 70,000 met the requirements for cavalry. Rome's Italian allies would be organized in alae, or wings, roughly equal in manpower to the Roman legions, though with 900 cavalry instead of 300.",How many calvary did Rome's Italian allies use?,900 cavalry,0,NUM,900 cavalry,1.0
"The Licchavi era was followed by the Malla era. Rulers from Tirhut, upon being attacked by Muslims, fled north to the Kathmandu valley. They intermarried with Nepali royalty, and this led to the Malla era. The early years of the Malla era were turbulent, with raids and attacks from Khas and Turk Muslims. There was also a devastating earthquake which claimed the lives of a third of Kathmandu's population, including the king Abhaya Malla. These disasters led to the destruction of most of the architecture of the Licchavi era (such as Mangriha and Kailashkut Bhawan), and the loss of literature collected in various monasteries within the city. Despite the initial hardships, Kathmandu rose to prominence again and, during most of the Malla era, dominated the trade between India and Tibet. Nepali currency became the standard currency in trans-Himalayan trade.",What fraction of Kathmandu's population died in an ancient earthquake?,third,0,NUM,Unknown,0.9936556220054626
"The ReWritable Audio CD is designed to be used in a consumer audio CD recorder, which will not (without modification) accept standard CD-RW discs. These consumer audio CD recorders use the Serial Copy Management System (SCMS), an early form of digital rights management (DRM), to conform to the United States' Audio Home Recording Act (AHRA). The ReWritable Audio CD is typically somewhat more expensive than CD-RW due to (a) lower volume and (b) a 3% AHRA royalty used to compensate the music industry for the making of a copy.",What does DRM stand for?,digital rights management,1,ABBR,Digital Rights Management,0.985186755657196
"Following the discovery of a buffer overflow vulnerability in the Wii version of Twilight Princess, an exploit known as the ""Twilight Hack"" was developed, allowing the execution of custom code from a Secure Digital (SD) card on the console. A properly designed save file would cause the game to load unsigned code, which could include Executable and Linkable Format (ELF) programs and homebrew Wii applications. Versions 3.3 and 3.4 of the Wii Menu prevented copying exploited save files onto the console until circumvention methods were discovered, and version 4.0 of the Wii Menu patched the vulnerability.",What does ELF stand for?,Executable and Linkable Format,1,ABBR,Extremely Low Frequency,0.814674437046051
"Unlike previous versions of Windows, Windows 8 was distributed at retail in ""Upgrade"" licenses only, which require an existing version of Windows to install. The ""full version software"" SKU, which was more expensive but could be installed on computers without an eligible OS or none at all, was discontinued. In lieu of full version, a specialized ""System Builder"" SKU was introduced. The ""System Builder"" SKU replaced the original equipment manufacturer (OEM) SKU, which was only allowed to be used on PCs meant for resale, but added a ""Personal Use License"" exemption that officially allowed its purchase and personal use by users on homebuilt computers.",What does OEM stand for?,original equipment manufacturer,1,ABBR,Original Equipment Manufacturer,0.9769577980041504
"The simplest type of MP3 file uses one bit rate for the entire file: this is known as Constant Bit Rate (CBR) encoding. Using a constant bit rate makes encoding simpler and faster. However, it is also possible to create files where the bit rate changes throughout the file. These are known as Variable Bit Rate (VBR) files. The idea behind this is that, in any piece of audio, some parts will be much easier to compress, such as silence or music containing only a few instruments, while others will be more difficult to compress. So, the overall quality of the file may be increased by using a lower bit rate for the less complex passages and a higher one for the more complex parts. With some encoders, it is possible to specify a given quality, and the encoder will vary the bit rate accordingly. Users who know a particular ""quality setting"" that is transparent to their ears can use this value when encoding all of their music, and generally speaking not need to worry about performing personal listening tests on each piece of music to determine the correct bit rate.",What does CBR stand for?,Constant Bit Rate,1,ABBR,CBC Radio,0.8491157293319702
"A database management system (DBMS) is a computer software application that interacts with the user, other applications, and the database itself to capture and analyze data. A general-purpose DBMS is designed to allow the definition, creation, querying, update, and administration of databases. Well-known DBMSs include MySQL, PostgreSQL, Microsoft SQL Server, Oracle, Sybase, SAP HANA, and IBM DB2. A database is not generally portable across different DBMSs, but different DBMS can interoperate by using standards such as SQL and ODBC or JDBC to allow a single application to work with more than one DBMS. Database management systems are often classified according to the database model that they support; the most popular database systems since the 1980s have all supported the relational model as represented by the SQL language.[disputed – discuss] Sometimes a DBMS is loosely referred to as a 'database'.",What does DBMS stand for?,database management system,1,ABBR,Database Management System,0.9867775440216064
"The 45 rpm discs also came in a variety known as extended play (EP), which achieved up to 10–15 minutes play at the expense of attenuating (and possibly compressing) the sound to reduce the width required by the groove. EP discs were cheaper to produce, and were used in cases where unit sales were likely to be more limited or to reissue LP albums on the smaller format for those people who had only 45 rpm players. LP albums could be purchased 1 EP at a time, with four items per EP, or in a boxed set with 3 EPs or 12 items. The large center hole on 45s allows for easier handling by jukebox mechanisms. EPs were generally discontinued by the late 1950s in the U.S. as three- and four-speed record players replaced the individual 45 players. One indication of the decline of the 45 rpm EP is that the last Columbia Records reissue of Frank Sinatra songs on 45 rpm EP records, called Frank Sinatra (Columbia B-2641) was issued on December 7, 1959. The EP lasted considerably longer in Europe, and was a popular format during the 1960s for recordings by artists such as Serge Gainsbourg and the Beatles.",What do the initials EP stand for?,extended play,1,ABBR,Extended Play,0.9750984907150269
"The gyromagnetic ratio γ is the constant of proportionality between the frequency ν of nuclear magnetic resonance (or electron paramagnetic resonance for electrons) and the applied magnetic field B: ν = γB. It is difficult to measure gyromagnetic ratios precisely because of the difficulties in precisely measuring B, but the value for protons in water at 7002298150000000000♠25 °C is known to better than one part per million. The protons are said to be ""shielded"" from the applied magnetic field by the electrons in the water molecule, the same effect that gives rise to chemical shift in NMR spectroscopy, and this is indicated by a prime on the symbol for the gyromagnetic ratio, γ′p. The gyromagnetic ratio is related to the shielded proton magnetic moment μ′p, the spin number I (I = 1⁄2 for protons) and the reduced Planck constant.",How does the water molecule impact the effect of magnetic fields on protons?,"The protons are said to be ""shielded"" from the applied magnetic field by the electrons in the water molecule",1,DESC,Shielding,0.8465047478675842
"The 21 nocturnes are more structured, and of greater emotional depth, than those of Field (whom Chopin met in 1833). Many of the Chopin nocturnes have middle sections marked by agitated expression (and often making very difficult demands on the performer) which heightens their dramatic character.",What is it about the middle of Chopin's nocturnes that increases their drama?,agitated expression,1,DESC,Agitated expression,0.8865537047386169
"HDTV can be recorded to D-VHS (Digital-VHS or Data-VHS), W-VHS (analog only), to an HDTV-capable digital video recorder (for example DirecTV's high-definition Digital video recorder, Sky HD's set-top box, Dish Network's VIP 622 or VIP 722 high-definition Digital video recorder receivers, or TiVo's Series 3 or HD recorders), or an HDTV-ready HTPC. Some cable boxes are capable of receiving or recording two or more broadcasts at a time in HDTV format, and HDTV programming, some included in the monthly cable service subscription price, some for an additional fee, can be played back with the cable company's on-demand feature.",What restriction does W-VHS recordings have?,analog only,1,DESC,Copy protection,0.8135979771614075
