context,question,answers,topic_lda,generated_answer,bert_f1
"Von Neumann made fundamental contributions to mathematical statistics. In 1941, he derived the exact distribution of the ratio of the mean square of successive differences to the sample variance for independent and identically normally distributed variables. This ratio was applied to the residuals from regression models and is commonly known as the Durbin–Watson statistic for testing the null hypothesis that the errors are serially independent against the alternative that they follow a stationary first order autoregression.",How has mean square ratio been applied?,Durbin–Watson statistic,1,Durbin–Watson statistic,1.0000007152557373
"The Famicom contained no lockout hardware and, as a result, unlicensed cartridges (both legitimate and bootleg) were extremely common throughout Japan and the Far East. The original NES (but not the top-loading NES-101) contained the 10NES lockout chip, which significantly increased the challenges faced by unlicensed developers. Tinkerers at home in later years discovered that disassembling the NES and cutting the fourth pin of the lockout chip would change the chip’s mode of operation from ""lock"" to ""key"", removing all effects and greatly improving the console’s ability to play legal games, as well as bootlegs and converted imports. NES consoles sold in different regions had different lockout chips, so games marketed in one region would not work on consoles from another region. Known regions are: USA/Canada (3193 lockout chip), most of Europe (3195), Asia (3196) and UK, Italy and Australia (3197). Since two types of lockout chip were used in Europe, European NES game boxes often had an ""A"" or ""B"" letter on the front, indicating whether the game is compatible with UK/Italian/Australian consoles (A), or the rest of Europe (B). Rest-of-Europe games typically had text on the box stating ""This game is not compatible with the Mattel or NES versions of the Nintendo Entertainment System"". Similarly, UK/Italy/Australia games stated ""This game is only compatible with the Mattel or NES versions of the Nintendo Entertainment System"".","What was the lockout chip number for UK, Italy, and Australia?",3197,1,3197,1.0
"Modern electrification systems take AC energy from a power grid which is delivered to a locomotive and converted to a DC voltage to be used by traction motors. These motors may either be DC motors which directly use the DC or they may be 3-phase AC motors which require further conversion of the DC to 3-phase AC (using power electronics). Thus both systems are faced with the same task: converting and transporting high-voltage AC from the power grid to low-voltage DC in the locomotive. Where should this conversion take place and at what voltage and current (AC or DC) should the power flow to the locomotive? And how does all this relate to energy-efficiency? Both the transmission and conversion of electric energy involve losses: ohmic losses in wires and power electronics, magnetic field losses in transformers and smoothing reactors (inductors). Power conversion for a DC system takes place mainly in a railway substation where large, heavy, and more efficient hardware can be used as compared to an AC system where conversion takes place aboard the locomotive where space is limited and losses are significantly higher. Also, the energy used to blow air to cool transformers, power electronics (including rectifiers), and other conversion hardware must be accounted for.",What nowdays electrification systems can use?,DC motors which directly use the DC or they may be 3-phase AC motors,1,Electric motors,0.3045905530452728
"Jonathan Bellman writes that modern concert performance style—set in the ""conservatory"" tradition of late 19th- and 20th-century music schools, and suitable for large auditoria or recordings—militates against what is known of Chopin's more intimate performance technique. The composer himself said to a pupil that ""concerts are never real music, you have to give up the idea of hearing in them all the most beautiful things of art."" Contemporary accounts indicate that in performance, Chopin avoided rigid procedures sometimes incorrectly attributed to him, such as ""always crescendo to a high note"", but that he was concerned with expressive phrasing, rhythmic consistency and sensitive colouring. Berlioz wrote in 1853 that Chopin ""has created a kind of chromatic embroidery ... whose effect is so strange and piquant as to be impossible to describe ... virtually nobody but Chopin himself can play this music and give it this unusual turn"". Hiller wrote that ""What in the hands of others was elegant embellishment, in his hands became a colourful wreath of flowers.""","Who wrote about Chopin's ""chromatic embroidery""?",Berlioz,1,Berlioz,0.9999992847442627
"Some types of energy are a varying mix of both potential and kinetic energy. An example is mechanical energy which is the sum of (usually macroscopic) kinetic and potential energy in a system. Elastic energy in materials is also dependent upon electrical potential energy (among atoms and molecules), as is chemical energy, which is stored and released from a reservoir of electrical potential energy between electrons, and the molecules or atomic nuclei that attract them.[need quotation to verify].The list is also not necessarily complete. Whenever physical scientists discover that a certain phenomenon appears to violate the law of energy conservation, new forms are typically added that account for the discrepancy.",Some types of energy are a varying mix of potential and what other kind of energy?,kinetic,1,kinetic energy,0.2879417836666107
"The halogen lamp reduces uneven evaporation of the filament and eliminates darkening of the envelope by filling the lamp with a halogen gas at low pressure, rather than an inert gas. The halogen cycle increases the lifetime of the bulb and prevents its darkening by redepositing tungsten from the inside of the bulb back onto the filament. The halogen lamp can operate its filament at a higher temperature than a standard gas filled lamp of similar power without loss of operating life. Such bulbs are much smaller than normal incandescent bulbs, and are widely used where intense illumination is needed in a limited space. Fiber-optic lamps for optical microscopy is one typical application.",How does the size of a halogen bulb compare to an incandescent?,bulbs are much smaller than normal incandescent bulbs,1,smaller,-0.08781478554010391
"The scientific revolution is a convenient boundary between ancient thought and classical physics. Nicolaus Copernicus revived the heliocentric model of the solar system described by Aristarchus of Samos. This was followed by the first known model of planetary motion given by Johannes Kepler in the early 17th century, which proposed that the planets follow elliptical orbits, with the Sun at one focus of the ellipse. Galileo (""Father of Modern Physics"") also made use of experiments to validate physical theories, a key element of the scientific method.",What was Galileo's nickname?,Father of Modern Physics,1,Father of Modern Physics,1.0
"Uses of a sequence of events include stories, historical events (chronology), directions and steps in procedures, and timetables for scheduling activities. A sequence of events may also be used to help describe processes in science, technology, and medicine. A sequence of events may be focused on past events (e.g., stories, history, chronology), on future events that must be in a predetermined order (e.g., plans, schedules, procedures, timetables), or focused on the observation of past events with the expectation that the events will occur in the future (e.g., processes). The use of a sequence of events occurs in fields as diverse as machines (cam timer), documentaries (Seconds From Disaster), law (choice of law), computer simulation (discrete event simulation), and electric power transmission (sequence of events recorder). A specific example of a sequence of events is the timeline of the Fukushima Daiichi nuclear disaster.",Uses of sequences of events include what?,"stories, historical events (chronology), directions and steps in procedures, and timetables",1,stories,-0.04209266975522041
"Not all introduced species are invasive, nor all invasive species deliberately introduced. In cases such as the zebra mussel, invasion of US waterways was unintentional. In other cases, such as mongooses in Hawaii, the introduction is deliberate but ineffective (nocturnal rats were not vulnerable to the diurnal mongoose). In other cases, such as oil palms in Indonesia and Malaysia, the introduction produces substantial economic benefits, but the benefits are accompanied by costly unintended consequences.",What animal intentionally invaded Hawaii?,mongooses,2,mongoose,0.856114387512207
"However, performance enhancements cannot be generalized as the benefits and limitations of the system are dependent on many factors. One problem is that the system is subject to gaming. Sometimes, one person enters the destination for a large group of people going to the same floor. The dispatching algorithm is usually unable to completely cater for the variation, and latecomers may find the elevator they are assigned to is already full. Also, occasionally, one person may press the floor multiple times. This is common with up/down buttons when people believe this to be an effective way to hurry elevators. However, this will make the computer think multiple people are waiting and will allocate empty cars to serve this one person.",For what reason do people repeatedly push the up/down buttons on a panel?,people believe this to be an effective way to hurry elevators,2,To hurry elevators,0.40682703256607056
"After the creation of the Commonwealth of Australia in 1901, Norfolk Island was placed under the authority of the new Commonwealth government to be administered as an external territory. During World War II, the island became a key airbase and refuelling depot between Australia and New Zealand, and New Zealand and the Solomon Islands. The airstrip was constructed by Australian, New Zealand and United States servicemen during 1942. Since Norfolk Island fell within New Zealand's area of responsibility it was garrisoned by a New Zealand Army unit known as N Force at a large Army camp which had the capacity to house a 1,500 strong force. N Force relieved a company of the Second Australian Imperial Force. The island proved too remote to come under attack during the war and N Force left the island in February 1944.",During what major event did Norfolk Island become an important airbase and refuelling station?,World War II,2,World War II,1.0
"Following Garreth Mallory's promotion to M, on a mission in Mexico City unofficially ordered by a posthumous message from the previous M, 007 James Bond kills three men plotting a terrorist bombing during the Day of the Dead and gives chase to Marco Sciarra, an assassin who survived the attack. In the ensuing struggle, Bond steals his ring, which is emblazoned with a stylised octopus, and then kills Sciarra by kicking him out of a helicopter. Upon returning to London, Bond is indefinitely suspended from field duty by M, who is in the midst of a power struggle with C, the head of the privately-backed Joint Intelligence Service, consisting of the recently merged MI5 and MI6. C campaigns for Britain to form alongside 8 other countries ""Nine Eyes "", a global surveillance and intelligence co-operation initiative between nine member states, and uses his influence to close down the '00' section, believing it to be outdated.",What group does C support England joining?,Nine Eyes,2,European Union,0.13394726812839508
"During the 1930s solid fuel rockets were under development in the Soviet Union and Britain. In Britain the interest was for anti-aircraft fire, it quickly became clear that guidance would be required for precision. However, rockets, or 'unrotated projectiles' as they were called could the used for anti-aircraft barrages. A 2-inch rocket using HE or wire obstacle warheads was introduced first to deal with low-level or dive bombing attacks on smaller targets such as airfields. The 3-inch was in development at the end of the inter-war period.",Why was Britain mainly interested in solid fuel rockets?,for anti-aircraft fire,2,anti-aircraft fire,0.538879930973053
"Some claim that there is education inequality because children did not exceed the education of their parents. This education inequality is then associated with income inequality. Although critical thinking is a goal of education, criticism and blame are often the unintended by products of our current educational process. Students often blame their teachers and their textbooks, despite the availability of libraries and the internet. When someone tries to improve education, the educational establishment itself occasionally showers the person with criticism rather than gratitude. Better by products of an educational system would be gratitude and determination.",Who do students often blame for their education short comings?,teachers and their textbooks,2,teachers,0.09079476445913315
"Research since reveals self-examination beginning early in adolescence, but identity achievement rarely occurring before age 18. The freshman year of college influences identity development significantly, but may actually prolong psychosocial moratorium by encouraging reexamination of previous commitments and further exploration of alternate possibilities without encouraging resolution. For the most part, evidence has supported Erikson's stages: each correlates with the personality traits he originally predicted. Studies also confirm the impermanence of the stages; there is no final endpoint in identity development.",Is there a final endpoint in identity development?,no,2,No,0.9980830550193787
"Loge continued during October. According to German sources, 9,000 short tons (8,200 t) of bombs were dropped in that month, of which about 10 percent of which was dropped in daylight. Over 6,000 short tons (5,400 t) was aimed at London during the night. Attacks on Birmingham and Coventry were subject to 500 short tons (450 t) of bombs between them in the last 10 days of October. Liverpool suffered 200 short tons (180 t) of bombs dropped. Hull and Glasgow were attacked, but 800 short tons (730 t) of bombs were spread out all over Britain. The Metropolitan-Vickers works in Manchester was targeted and 12 short tons (11 t) of bombs dropped against it. Little tonnage was dropped on Fighter Command airfields; Bomber Command airfields were hit instead.",What two cities had 500 short tons of bombs dropped on them during the end of October?,Birmingham and Coventry,2,Birmingham and Coventry,0.999998927116394
"The economy has been growing quickly in recent years. In both 2010 and 2011, the metro area's gross domestic product (GDP) led 27 other metropolitan areas in the country, according to the Conference Board of Canada, recording growth of 6.6 per cent and 5.8 per cent respectively. At $52,000 the city's per capita GDP is the second highest out of all major Canadian cities. Economic forecasts suggest that the city will continue its strong economic growth in the coming years not only in the ""oceanic"" industries mentioned above, but also in tourism and new home construction as the population continues to grow. In May 2011, the city's unemployment rate fell to 5.6 per cent, the second lowest unemployment rate for a major city in Canada.",What was the city's unemployment rate in May 2011?,5.6 per cent,2,5.6%,0.8593822121620178
"Beyoncé participated in George Clooney and Wyclef Jean's Hope for Haiti Now: A Global Benefit for Earthquake Relief telethon and was named the official face of the limited edition CFDA ""Fashion For Haiti"" T-shirt, made by Theory which raised a total of $1 million. On March 5, 2010, Beyoncé and her mother Tina opened the Beyoncé Cosmetology Center at the Brooklyn Phoenix House, offering a seven-month cosmetology training course for men and women. In April 2011, Beyoncé joined forces with US First Lady Michelle Obama and the National Association of Broadcasters Education Foundation, to help boost the latter's campaign against child obesity by reworking her single ""Get Me Bodied"". Following the death of Osama bin Laden, Beyoncé released her cover of the Lee Greenwood song ""God Bless the USA"", as a charity single to help raise funds for the New York Police and Fire Widows' and Children's Benefit Fund.",Beyonce opened a cosmetology center in what location?,Brooklyn Phoenix House,2,Brooklyn,0.16774310171604156
"Beyoncé's second solo album B'Day was released on September 5, 2006, in the US, to coincide with her twenty-fifth birthday. It sold 541,000 copies in its first week and debuted atop the Billboard 200, becoming Beyoncé's second consecutive number-one album in the United States. The album's lead single ""Déjà Vu"", featuring Jay Z, reached the top five on the Billboard Hot 100 chart. The second international single ""Irreplaceable"" was a commercial success worldwide, reaching number one in Australia, Hungary, Ireland, New Zealand and the United States. B'Day also produced three other singles; ""Ring the Alarm"", ""Get Me Bodied"", and ""Green Light"" (released in the United Kingdom only).",What is the name of Beyoncé's second album?,B'Day,3,B'Day,1.0
"Galicia is quite mountainous, a fact which has contributed to isolate the rural areas, hampering communications, most notably in the inland. The main mountain range is the Macizo Galaico (Serra do Eixe, Serra da Lastra, Serra do Courel), also known as Macizo Galaico-Leonés, located in the eastern parts, bordering with Castile and León. Noteworthy mountain ranges are O Xistral (northern Lugo), the Serra dos Ancares (on the border with León and Asturias), O Courel (on the border with León), O Eixe (the border between Ourense and Zamora), Serra de Queixa (in the center of Ourense province), O Faro (the border between Lugo and Pontevedra), Cova da Serpe (border of Lugo and A Coruña), Montemaior (A Coruña), Montes do Testeiro, Serra do Suído, and Faro de Avión (between Pontevedra and Ourense); and, to the south, A Peneda, O Xurés and O Larouco, all on the border of Ourense and Portugal.",What is Galicia's main mountain range?,Macizo Galaico,3,Macizo Galaico,0.9999996423721313
"It was ten years after the inception of the youth program, La Masia, when the young players began to graduate and play for their first team. One of the first graduates, who would later earn international acclaim, was previous Barcelona coach Pep Guardiola. Under Cruyff's guidance, Barcelona won four consecutive La Liga titles from 1991 to 1994. They beat Sampdoria in both the 1989 UEFA Cup Winners' Cup final and the 1992 European Cup final at Wembley, with a free kick goal from Dutch international Ronald Koeman. They also won a Copa del Rey in 1990, the European Super Cup in 1992 and three Supercopa de España trophies. With 11 trophies, Cruyff became the club's most successful manager at that point. He also became the club's longest consecutive serving manager, serving eight years. Cruyff's fortune was to change, and, in his final two seasons, he failed to win any trophies and fell out with president Núñez, resulting in his departure. On the legacy of Cruyff's football philosophy and the passing style of play he introduced to the club, future coach of Barcelona Pep Guardiola would state, ""Cruyff built the cathedral, our job is to maintain and renovate it.""",By 1992 who was Barcelona's most successful manager?,Cruyff,3,Cruyff,1.0000007152557373
"All modern birds lie within the crown group Aves (alternately Neornithes), which has two subdivisions: the Palaeognathae, which includes the flightless ratites (such as the ostriches) and the weak-flying tinamous, and the extremely diverse Neognathae, containing all other birds. These two subdivisions are often given the rank of superorder, although Livezey and Zusi assigned them ""cohort"" rank. Depending on the taxonomic viewpoint, the number of known living bird species varies anywhere from 9,800 to 10,050.",All modern birds lie within which crown group?,Aves,3,Aves,0.9999982118606567
"Following the 2000 census, the Oklahoma delegation to the U.S. House of Representatives was reduced from six to five representatives, each serving one congressional district. For the 112th Congress (2011–2013), there were no changes in party strength, and the delegation included four Republicans and one Democrat. In the 112th Congress, Oklahoma's U.S. senators were Republicans Jim Inhofe and Tom Coburn, and its U.S. Representatives were John Sullivan (R-OK-1), Dan Boren (D-OK-2), Frank D. Lucas (R-OK-3), Tom Cole (R-OK-4), and James Lankford (R-OK-5).",What political party are Oklahoma's US Senators?,Republicans,3,Republican,0.9973773956298828
"On February 8, 1847, Doniphan continued his march with 924 men mostly from Missouri; he accompanied a train of 315 wagons of a large commercial caravan heading to the state capital. Meanwhile, the Mexican forces in the state had time to prepare a defense against the Americans. About 20 miles (32 km) north of the capital where two mountain ranges join from east to west is the only pass into the capital; known as Sacramento Pass, this point is now part of present-day Chihuahua City. The Battle of Sacramento was the most important battle fought in the state of Chihuahua because it was the sole defense for the state capital. The battle ended quickly because of some devastating defensive errors from the Mexican forces and the ingenious strategic moves by the American forces. After their loss at the Battle of Sacramento, the remaining Mexican soldiers retreated south, leaving the city to American occupation. Almost 300 Mexicans were killed in the battle, as well as almost 300 wounded. The Americans also confiscated large amounts of Mexican supplies and took 400 Mexican soldiers prisoners of war. American forces maintained an occupation of the state capital for the rest of the Mexican–American War.",Which was the most important battle fought in Chihuahua?,The Battle of Sacramento,3,Battle of Sacramento,0.2733113467693329
"Since 2009, the Tucson Festival of Books has been held annually over a two-day period in March at the University of Arizona. By 2010 it had become the fourth largest book festival in the United States, with 450 authors and 80,000 attendees. In addition to readings and lectures, it features a science fair, varied entertainment, food, and exhibitors ranging from local retailers and publishers to regional and national nonprofit organizations. In 2011, the Festival began presenting a Founder's Award; recipients include Elmore Leonard and R.L. Stine.",What award did the Tucson Festival of Books give to R. L. Stine?,Founder's Award,3,Founder's Award,1.0000014305114746
"In the CFL, if the game is tied at the end of regulation play, then each team is given an equal number of chances to break the tie. A coin toss is held to determine which team will take possession first; the first team scrimmages the ball at the opponent's 35-yard line and advances through a series of downs until it scores or loses possession. If the team scores a touchdown, starting with the 2010 season, it is required to attempt a 2-point conversion. The other team then scrimmages the ball at the same 35-yard line and has the same opportunity to score. After the teams have completed their possessions, if one team is ahead, then it is declared the winner; otherwise, the two teams each get another chance to score, scrimmaging from the other 35-yard line. After this second round, if there is still no winner, during the regular season the game ends as a tie. In a playoff or championship game, the teams continue to attempt to score from alternating 35-yard lines, until one team is leading after both have had an equal number of possessions.",In which year did the CFL begin requiring teams to attempt 2-point conversions after scoring in a tie-breaking situation?,2010,3,2010,0.9999992847442627
"North Carolina is also home to many well-known private colleges and universities, including Duke University, Wake Forest University, Pfeiffer University, Lees-McRae College, Davidson College, Barton College, North Carolina Wesleyan College, Elon University, Guilford College, Livingstone College, Salem College, Shaw University (the first historically black college or university in the South), Laurel University, Meredith College, Methodist University, Belmont Abbey College (the only Catholic college in the Carolinas), Campbell University, University of Mount Olive, Montreat College, High Point University, Lenoir-Rhyne University (the only Lutheran university in North Carolina) and Wingate University.",What was the first black college in the south?,Shaw University,3,Shaw University,1.0000007152557373
"On the morning of March 28, 1969, at the age of 78, Eisenhower died in Washington, D.C. of congestive heart failure at Walter Reed Army Medical Center. The following day his body was moved to the Washington National Cathedral's Bethlehem Chapel, where he lay in repose for 28 hours. On March 30, his body was brought by caisson to the United States Capitol, where he lay in state in the Capitol Rotunda. On March 31, Eisenhower's body was returned to the National Cathedral, where he was given an Episcopal Church funeral service.",How old was Eisenhower when he died?,78,3,78,1.0000007152557373
